;Time;Fy;Model
363;363,0;21,49;21,92878241430801
364;364,0;22,32;21,956161363871075
365;365,0;22,05;21,98354031343414
366;366,0;21,44;22,010919262997206
367;367,0;21,99;22,038298212560274
368;368,0;22,09;22,06567716212334
369;369,0;21,91;22,09305611168641
370;370,0;22,33;22,120435061249474
371;371,0;21,85;22,14781401081254
372;372,0;22,95;22,175192960375604
373;373,0;22,3;22,20257190993867
374;374,0;22,57;22,229950859501734
375;375,0;22,26;22,2573298090648
376;376,0;21,81;22,28470875862787
377;377,0;22,57;22,312087708190933
378;378,0;22,01;22,339466657754
379;379,0;21,67;22,366845607317067
380;380,0;22,94;22,394224556880133
381;381,0;21,68;22,421603506443198
382;382,0;22,43;22,448982456006263
383;383,0;22,07;22,476361405569328
384;384,0;23,21;22,503740355132393
385;385,0;22,0;22,53111930469546
386;386,0;22,97;22,558498254258527
387;387,0;22,65;22,585877203821592
388;388,0;23,18;22,61325615338466
389;389,0;23,33;22,640635102947726
390;390,0;23,1;22,66801405251079
391;391,0;22,11;22,695393002073857
392;392,0;23,58;22,722771951636922
393;393,0;22,95;22,750150901199987
394;394,0;23,37;22,777529850763052
395;395,0;24,22;22,80490880032612
396;396,0;23,24;22,832287749889186
397;397,0;23,76;22,859666699452255
398;398,0;23,82;22,88704564901532
399;399,0;23,25;22,914424598578385
400;400,0;23,89;22,94180354814145
401;401,0;22,69;22,969182497704516
402;402,0;23,8;22,99656144726758
403;403,0;23,11;23,023940396830646
404;404,0;23,02;23,051319346393715
405;405,0;23,76;23,07869829595678
406;406,0;23,01;23,106077245519845
407;407,0;23,3;23,133456195082914
408;408,0;23,39;23,16083514464598
409;409,0;23,71;23,188214094209044
410;410,0;23,92;23,21559304377211
411;411,0;23,94;23,242971993335175
412;412,0;23,72;23,27035094289824
413;413,0;24,37;23,297729892461305
414;414,0;24,55;23,325108842024374
415;415,0;23,13;23,35248779158744
416;416,0;24,25;23,379866741150508
417;417,0;24,14;23,407245690713573
418;418,0;22,87;23,43462464027664
419;419,0;23,4;23,462003589839703
420;420,0;24,05;23,48938253940277
421;421,0;23,51;23,516761488965834
422;422,0;25,18;23,5441404385289
423;423,0;23,85;23,571519388091968
424;424,0;24,86;23,598898337655033
425;425,0;23,91;23,6262772872181
426;426,0;23,63;23,653656236781167
427;427,0;24,44;23,681035186344232
428;428,0;23,28;23,708414135907297
429;429,0;21,2;23,735793085470362
430;430,0;24,23;23,763172035033428
431;431,0;22,29;23,790550984596493
432;432,0;21,54;23,81792993415956
433;433,0;21,47;23,845308883722627
434;434,0;22,42;23,872687833285692
435;435,0;22,74;23,90006678284876
436;436,0;22,92;23,927445732411826
437;437,0;22,05;23,95482468197489
438;438,0;22,27;23,982203631537956
439;439,0;22,52;24,00958258110102
440;440,0;23,02;24,036961530664087
441;441,0;22,56;24,064340480227152
442;442,0;22,46;24,09171942979022
443;443,0;22,29;24,119098379353286
444;444,0;23,06;24,146477328916355
445;445,0;23,37;24,17385627847942
446;446,0;22,64;24,201235228042485
447;447,0;23,31;24,22861417760555
448;448,0;22,49;24,255993127168615
449;449,0;23,55;24,28337207673168
450;450,0;23,26;24,310751026294746
451;451,0;23,41;24,338129975857814
452;452,0;22,97;24,36550892542088
453;453,0;23,14;24,39288787498395
454;454,0;22,92;24,420266824547014
455;455,0;23,7;24,44764577411008
456;456,0;22,82;24,475024723673144
457;457,0;23,54;24,50240367323621
458;458,0;23,34;24,529782622799274
459;459,0;23,68;24,55716157236234
460;460,0;23,24;24,58454052192541
461;461,0;24,49;24,611919471488473
462;462,0;23,06;24,639298421051542
463;463,0;23,93;24,666677370614607
464;464,0;23,65;24,694056320177673
465;465,0;23,86;24,721435269740738
466;466,0;23,29;24,748814219303803
467;467,0;24,27;24,776193168866868
468;468,0;23,95;24,803572118429933
469;469,0;23,36;24,830951067993002
470;470,0;24,27;24,858330017556067
471;471,0;24,46;24,885708967119132
472;472,0;24,38;24,9130879166822
473;473,0;23,97;24,940466866245266
474;474,0;23,79;24,96784581580833
475;475,0;24,93;24,995224765371397
476;476,0;24,03;25,022603714934462
477;477,0;24,7;25,049982664497527
478;478,0;24,77;25,077361614060592
479;479,0;24,96;25,10474056362366
480;480,0;24,4;25,132119513186726
481;481,0;25,47;25,159498462749795
482;482,0;24,53;25,18687741231286
483;483,0;23,96;25,214256361875925
484;484,0;24,61;25,24163531143899
485;485,0;24,77;25,269014261002056
486;486,0;23,92;25,29639321056512
487;487,0;24,34;25,323772160128186
488;488,0;24,74;25,351151109691255
489;489,0;24,77;25,37853005925432
490;490,0;24,38;25,40590900881739
491;491,0;24,43;25,433287958380454
492;492,0;24,18;25,46066690794352
493;493,0;24,61;25,488045857506584
494;494,0;24,42;25,51542480706965
495;495,0;24,91;25,542803756632715
496;496,0;25,14;25,57018270619578
497;497,0;24,08;25,59756165575885
498;498,0;22,86;25,624940605321914
499;499,0;25,54;25,65231955488498
500;500,0;25,14;25,679698504448048
501;501,0;25,94;25,707077454011113
502;502,0;25,29;25,73445640357418
503;503,0;24,57;25,761835353137243
504;504,0;25,82;25,78921430270031
505;505,0;25,65;25,816593252263374
506;506,0;25,77;25,84397220182644
507;507,0;25,54;25,871351151389508
508;508,0;26,66;25,898730100952573
509;509,0;25,3;25,92610905051564
510;510,0;26,35;25,953488000078707
511;511,0;25,38;25,980866949641772
512;512,0;27,06;26,008245899204837
513;513,0;25,7;26,035624848767903
514;514,0;26,92;26,063003798330968
515;515,0;25,13;26,090382747894033
516;516,0;25,98;26,1177616974571
517;517,0;25,77;26,145140647020167
518;518,0;26,53;26,172519596583236
519;519,0;25,9;26,1998985461463
520;520,0;26,71;26,227277495709366
521;521,0;26,6;26,25465644527243
522;522,0;26,8;26,282035394835496
523;523,0;27,37;26,30941434439856
524;524,0;26,28;26,336793293961627
525;525,0;27,44;26,364172243524695
526;526,0;26,35;26,39155119308776
527;527,0;27,34;26,418930142650826
528;528,0;26,39;26,446309092213895
529;529,0;26,9;26,47368804177696
530;530,0;25,89;26,501066991340025
531;531,0;27,91;26,52844594090309
532;532,0;27,45;26,555824890466155
533;533,0;27,42;26,58320384002922
534;534,0;26,43;26,610582789592286
535;535,0;28,32;26,637961739155354
536;536,0;27,65;26,66534068871842
537;537,0;27,91;26,69271963828149
538;538,0;27,31;26,720098587844554
539;539,0;27,26;26,74747753740762
540;540,0;27,85;26,774856486970684
541;541,0;27,75;26,80223543653375
542;542,0;28,78;26,829614386096814
543;543,0;27,33;26,85699333565988
544;544,0;26,75;26,88437228522295
545;545,0;28,16;26,911751234786013
546;546,0;28,76;26,939130184349082
547;547,0;27,5;26,966509133912147
548;548,0;28,08;26,993888083475213
549;549,0;27,92;27,021267033038278
550;550,0;28,63;27,048645982601343
551;551,0;28,72;27,076024932164408
552;552,0;28,02;27,103403881727473
553;553,0;27,08;27,130782831290542
554;554,0;28,28;27,158161780853607
555;555,0;27,9;27,185540730416673
556;556,0;28,59;27,21291967997974
557;557,0;28,58;27,240298629542806
558;558,0;28,47;27,26767757910587
559;559,0;27,94;27,295056528668937
560;560,0;29,09;27,322435478232002
561;561,0;28,51;27,349814427795067
562;562,0;29,04;27,377193377358132
563;563,0;28,15;27,4045723269212
564;564,0;28,74;27,431951276484266
565;565,0;27,68;27,459330226047335
566;566,0;28,64;27,4867091756104
567;567,0;28,33;27,514088125173465
568;568,0;29,53;27,54146707473653
569;569,0;25,97;27,568846024299596
570;570,0;22,59;27,59622497386266
571;571,0;26,85;27,623603923425726
572;572,0;26,97;27,650982872988795
573;573,0;27,56;27,67836182255186
574;574,0;27,47;27,70574077211493
575;575,0;27,06;27,733119721677994
576;576,0;26,25;27,76049867124106
577;577,0;27,51;27,787877620804124
578;578,0;27,08;27,81525657036719
579;579,0;27,47;27,842635519930255
580;580,0;28,2;27,87001446949332
581;581,0;28,54;27,89739341905639
582;582,0;29,64;27,924772368619454
583;583,0;27,88;27,952151318182523
584;584,0;27,6;27,979530267745588
585;585,0;26,39;28,006909217308653
586;586,0;27,84;28,03428816687172
587;587,0;28,28;28,061667116434784
588;588,0;27,74;28,08904606599785
589;589,0;27,88;28,116425015560917
590;590,0;28,47;28,143803965123983
591;591,0;29,69;28,171182914687048
592;592,0;27,83;28,198561864250113
593;593,0;28,51;28,225940813813178
594;594,0;27,68;28,253319763376247
595;595,0;29,81;28,280698712939312
596;596,0;27,85;28,308077662502377
597;597,0;28,88;28,335456612065443
598;598,0;28,94;28,362835561628508
599;599,0;29,95;28,390214511191576
600;600,0;29,15;28,41759346075464
601;601,0;29,59;28,444972410317707
602;602,0;29,59;28,472351359880772
603;603,0;30,21;28,49973030944384
604;604,0;28,75;28,527109259006906
605;605,0;29,36;28,55448820856997
606;606,0;28,18;28,581867158133036
607;607,0;30,2;28,6092461076961
608;608,0;30,12;28,63662505725917
609;609,0;30,09;28,664004006822235
610;610,0;29,13;28,6913829563853
611;611,0;29,73;28,718761905948366
612;612,0;29,4;28,74614085551143
613;613,0;30,86;28,7735198050745
614;614,0;30,0;28,800898754637565
615;615,0;29,48;28,82827770420063
616;616,0;29,9;28,855656653763695
617;617,0;29,7;28,883035603326764
618;618,0;29,98;28,91041455288983
619;619,0;28,25;28,937793502452895
620;620,0;30,13;28,96517245201596
621;621,0;31,04;28,992551401579025
622;622,0;29,68;29,019930351142094
623;623,0;30,21;29,04730930070516
624;624,0;29,86;29,074688250268224
625;625,0;30,27;29,10206719983129
626;626,0;30,44;29,129446149394354
627;627,0;29,73;29,156825098957423
628;628,0;30,16;29,18420404852049
629;629,0;28,82;29,211582998083554
630;630,0;30,31;29,23896194764662
631;631,0;30,0;29,266340897209687
632;632,0;29,58;29,293719846772753
633;633,0;29,46;29,321098796335818
634;634,0;28,92;29,348477745898883
635;635,0;30,06;29,375856695461948
636;636,0;28,8;29,403235645025017
637;637,0;29,9;29,430614594588082
638;638,0;30,14;29,457993544151147
639;639,0;30,06;29,485372493714213
640;640,0;30,05;29,51275144327728
641;641,0;30,23;29,540130392840346
642;642,0;29,44;29,56750934240341
643;643,0;24,56;29,594888291966477
644;644,0;26,53;29,622267241529542
645;645,0;27,41;29,64964619109261
646;646,0;27,14;29,677025140655676
647;647,0;28,55;29,70440409021874
648;648,0;28,28;29,731783039781806
649;649,0;28,5;29,75916198934487
